brand,canonicalProductName,manufacturerRef,variantLabel
VOCO,VOCO Futurabond U,1571,SingleDose 50 шт.
VOCO,VOCO Futurabond U,1572,SingleDose 200 шт.
VOCO,VOCO Futurabond U,1574,Пробный набор SingleDose 20 шт. + Vococid 2 мл
VOCO,VOCO Futurabond U,1577,Флакон 5 мл
VOCO,VOCO Futurabond U,1578,DCA флакон 2 мл
VOCO,VOCO Bifix QM,1217,Набор QuickMix 10 г универсальный
VOCO,VOCO Bifix QM,1218,QuickMix 10 г универсальный
VOCO,VOCO Bifix QM,1219,QuickMix 10 г прозрачный
VOCO,VOCO Bifix QM,1759,QuickMix 10 г белый непрозрачный
VOCO,VOCO Profluorid Varnish,2971,Тюбики 4 × 10 мл · ассорти
VOCO,VOCO Profluorid Varnish,1267,Тюбик 10 мл · дыня
VOCO,VOCO Profluorid Varnish,1272,Тюбик 50 мл · дыня
VOCO,VOCO Profluorid Varnish,2232,Тюбик 10 мл · карамель
VOCO,VOCO Profluorid Varnish,2233,Тюбик 10 мл · вишня
VOCO,VOCO Profluorid Varnish,2234,Тюбик 10 мл · мята
VOCO,VOCO Profluorid Varnish,2236,Тюбик 10 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2237,Тюбик 10 мл · пина-колада
VOCO,VOCO Profluorid Varnish,1269,SingleDose 50 × 0.40 мл · дыня
VOCO,VOCO Profluorid Varnish,1271,SingleDose 200 × 0.40 мл · дыня
VOCO,VOCO Profluorid Varnish,2226,SingleDose 50 × 0.40 мл · карамель
VOCO,VOCO Profluorid Varnish,2229,SingleDose 200 × 0.40 мл · карамель
VOCO,VOCO Profluorid Varnish,2227,SingleDose 50 × 0.40 мл · вишня
VOCO,VOCO Profluorid Varnish,2230,SingleDose 200 × 0.40 мл · вишня
VOCO,VOCO Profluorid Varnish,2228,SingleDose 50 × 0.40 мл · мята
VOCO,VOCO Profluorid Varnish,2231,SingleDose 200 × 0.40 мл · мята
VOCO,VOCO Profluorid Varnish,2238,SingleDose 50 × 0.40 мл · жевательная резинка
VOCO,VOCO Profluorid Varnish,2239,SingleDose 200 × 0.40 мл · жевательная резинка
VOCO,VOCO Profluorid Varnish,2240,SingleDose 50 × 0.40 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2241,SingleDose 200 × 0.40 мл · кола-лайм
VOCO,VOCO Profluorid Varnish,2242,SingleDose 50 × 0.40 мл · пина-колада
VOCO,VOCO Profluorid Varnish,2243,SingleDose 200 × 0.40 мл · пина-колада
VOCO,VOCO Profluorid Varnish,1268,SingleDose 50 × 0.25 мл · дыня
VOCO,VOCO Profluorid Varnish,2225,SingleDose 48 × 0.40 мл · ассорти
VOCO,VOCO Profluorid Varnish,2235,Картриджи 5 × 1.70 мл · дыня
