source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/","aktsii","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-khirurgicheskiy-nabor-surgical-07/","50-implantov-khirurgicheskiy-nabor-surgical-07","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/90-implantov-khirurgicheskiy-nabor-dionavi-master-kit-05/","90-implantov-khirurgicheskiy-nabor-dionavi-master-kit-05","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-coxo-c-sailor-pro/","50-implantov-fiziodispenser-coxo-c-sailor-pro","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-coxo-c-sailor-pro-i-nabor-surgical-kit-07/","50-implantov-fiziodispenser-coxo-c-sailor-pro-i-nabor-surgical-kit-07","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-x-cube/","50-implantov-fiziodispenser-x-cube","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-x-cube-nabor-surgical-kit-07/","50-implantov-fiziodispenser-x-cube-nabor-surgical-kit-07","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-sip-20/","50-implantov-fiziodispenser-sip-20","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-fiziodispenser-sip-20-nabor-surgical-kit-07/","50-implantov-fiziodispenser-sip-20-nabor-surgical-kit-07","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-pezoapparat-sus-20/","50-implantov-pezoapparat-sus-20","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-pezoapparat-sus-20-nabor-surgical-kit-07/","50-implantov-pezoapparat-sus-20-nabor-surgical-kit-07","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-medit-i700-besprovodnoy-peredvizhnoy-stol-medit/","50-implantov-medit-i700-besprovodnoy-peredvizhnoy-stol-medit","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-medit-i700-provodnoy-peredvizhnoy-stol-medit/","50-implantov-medit-i700-provodnoy-peredvizhnoy-stol-medit","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-aoralscan-3-provodnoy/","50-implantov-aoralscan-3-provodnoy","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/50-implantov-aoralscan-3-provodnoy-peredvizhnoy-stol-shining-3d/","50-implantov-aoralscan-3-provodnoy-peredvizhnoy-stol-shining-3d","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/25-implantov-siger-v6000-monoblok-22-i-intr-kamera/","25-implantov-siger-v6000-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/40-implantov-siger-s30-monoblok-22-i-intr-kamera/","40-implantov-siger-s30-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/siger-2-sht-v6000-monoblok-22-i-intr-kamera/","siger-2-sht-v6000-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/siger-3-1-sht-v6000-monoblok-22-i-intr-kamera/","siger-3-1-sht-v6000-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/siger-2-sht-s30-monoblok-22-i-intr-kamera/","siger-2-sht-s30-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/siger-3-1-sht-s30-monoblok-22-i-intr-kamera/","siger-3-1-sht-s30-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/frezernyy-stanok-xtcera-x-mill-500-plus/","frezernyy-stanok-xtcera-x-mill-500-plus","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/frezernyy-stanok-xtcera-x-mill-500-se/","frezernyy-stanok-xtcera-x-mill-500-se","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/frezernyy-stanok-xtcera-x-mill-300/","frezernyy-stanok-xtcera-x-mill-300","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/frezernyy-stanok-xtcera-xtcera-d5/","frezernyy-stanok-xtcera-xtcera-d5","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-metallicheskikh-koronok-48sht-kids-crowns-/","nabor-metallicheskikh-koronok-48sht-kids-crowns-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-metallicheskikh-koronok-96sht-kids-crowns-/","nabor-metallicheskikh-koronok-96sht-kids-crowns-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-tsirkonievykh-koronok-48sht-zirconia-crowns-/","nabor-tsirkonievykh-koronok-48sht-zirconia-crowns-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-tsirkonievykh-koronok-24sht-zirconia-crowns-/","nabor-tsirkonievykh-koronok-24sht-zirconia-crowns-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-tsirkonievykh-koronok-48sht-kids-zirconia-try-in-/","nabor-tsirkonievykh-koronok-48sht-kids-zirconia-try-in-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/nabor-tsirkonievykh-koronok-24sht-kids-zirconia-try-in/","nabor-tsirkonievykh-koronok-24sht-kids-zirconia-try-in","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/rayscan-rct-700-16x10-bez-tsefalo-medit-i700-provodnoy-noutbuk-lenovo-intel-core-i7-/","rayscan-rct-700-16x10-bez-tsefalo-medit-i700-provodnoy-noutbuk-lenovo-intel-core-i7-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/rayscan-rct-700-16x10-c-tsefalo-medit-i700-provodnoy-noutbuk-lenovo-intel-core-i7/","rayscan-rct-700-16x10-c-tsefalo-medit-i700-provodnoy-noutbuk-lenovo-intel-core-i7","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/rayscan-rct-700-10x10-s-tsefalo-siger-v6000-2-sht-monoblok-22-i-intr-kamera-/","rayscan-rct-700-10x10-s-tsefalo-siger-v6000-2-sht-monoblok-22-i-intr-kamera-","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/rayscan-rct-700-16x10-bez-tsefalo-siger-v6000-4-sht-monoblok-22-i-intr-kamera/","rayscan-rct-700-16x10-bez-tsefalo-siger-v6000-4-sht-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
"denti-kz","Denti.kz","https://www.denti.kz/orders/blank_zakaza/aktsii/rayscan-rct-700-16x10-c-tsefalo-siger-v6000-4-sht-monoblok-22-i-intr-kamera/","rayscan-rct-700-16x10-c-tsefalo-siger-v6000-4-sht-monoblok-22-i-intr-kamera","Ножницы Iris Delicate","","Стоматологические товары","piece","KZT","000","","false","Публичная карточка Denti.kz; цена и наличие требуют подтверждения поставщиком."
