externalId,name,supplierSku,brand,manufacturer,unit,priceMinor,currency,quantityOnHand,category,sourceUrl,sourceUpdatedAt
kazdent-0323,Стоматологическая установка YouJoy EASE02 Влажная аспирация,0323,YouJoy,YouJoy,шт,305000000,KZT,В наличии,Стоматологические установки,https://kazdentservice.kz/product_list,2026-07-17
kazdent-0324,Стоматологическая установка YOUJOY Floating Chair Влажная аспирация,0324,YouJoy,YouJoy,шт,370000000,KZT,В наличии,Стоматологические установки,https://kazdentservice.kz/product_list,2026-07-17
kazdent-intego,Стоматологическая установка INTEGO Dentsply Sirona,0124,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,Стоматологические установки,https://kazdentservice.kz/product_list,2026-07-17
kazdent-axano,Стоматологическая установка Axano Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,Стоматологические установки,https://kazdentservice.kz/product_list,2026-07-17
kazdent-orthophos,Стоматологический рентгеновский аппарат Orthophos S Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,Рентгены,https://kazdentservice.kz/product_list,2026-07-17
kazdent-tornado2,Компрессор стоматологический TORNADO2 с мембранным осушителем,0327,TORNADO,TORNADO,шт,219000000,KZT,В наличии,Компрессоры,https://kazdentservice.kz/product_list,2026-07-17
kazdent-primescan,Интераоральный сканер Primescan Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,CAD-CAM системы,https://kazdentservice.kz/product_list,2026-07-17
kazdent-ineos,Сканер inEos X5 Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,CAD-CAM системы,https://kazdentservice.kz/product_list,2026-07-17
kazdent-inlab-mcx5,Стоматологический фрезерный станок inLab MC X5 Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,CAD-CAM системы,https://kazdentservice.kz/product_list,2026-07-17
kazdent-profire,Печь для синтеризации inLab Profire Dentsply Sirona,,Dentsply Sirona,Dentsply Sirona,шт,,KZT,В наличии,Печи зуботехнические,https://kazdentservice.kz/product_list,2026-07-17
kazdent-siroperio,"Насадка для скалера SiroSonic SiroPerio PE 1, 1 шт",6044825,Sirona,Dentsply Sirona,шт,8580000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-sirona-3l,Насадка для скалера Sirona SiroSonic 3L,6541044,Sirona,Dentsply Sirona,шт,4153000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-sirona-4l,Насадка для скалера Sirona SiroSonic 4L,6541044,Sirona,Dentsply Sirona,шт,5500000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-t2-200,Наконечник Sirona T2 Line A 200 L,6376177,Sirona,Dentsply Sirona,шт,26468000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-t2-40,Наконечник Sirona T2 Line A 40 L,6376185,Sirona,Dentsply Sirona,шт,20733000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-t2-ah40,Наконечник Sirona T2 LINE AH 40 L,6376201,Sirona,Dentsply Sirona,шт,18686000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-boost,Наконечник турбинный Sirona T2 Boost S,6689629,Sirona,Dentsply Sirona,шт,18197000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-coupling,Быстросъёмное соединение Sirona Quick Coupling R,6319706,Sirona,Dentsply Sirona,шт,13207000,KZT,В наличии,Наконечники,https://kazdentservice.kz/product_list,2026-07-17
kazdent-autoclave,Паровой автоклав B класса YOU JOY SEA 23L,0325,YouJoy,YouJoy,шт,79800000,KZT,В наличии,ЦСО,https://kazdentservice.kz/product_list,2026-07-17
kazdent-emax,Стеклокерамические блоки IPS E.MAX CAD CEREC/INLAB HT A1 C14/5,626407,Ivoclar,Ivoclar,уп,8716000,KZT,В наличии,Материалы для зуботехнической лаборатории,https://kazdentservice.kz/product_list,2026-07-17
kazdent-emax-press,Пресс таблетка Стеклокерамические заготовки IPS E.MAX PRESS 5шт HT A1 5 PCS,626320,Ivoclar,Ivoclar,уп,4529000,KZT,В наличии,Материалы для зуботехнической лаборатории,https://kazdentservice.kz/product_list,2026-07-17
