source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x10_np/","implantat_konicheskiy_cf_3_5x10_np","implantat konicheskiy cf 3 5x10 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x11_5_np/","implantat_konicheskiy_cf_3_5x11_5_np","implantat konicheskiy cf 3 5x11 5 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x13_np/","implantat_konicheskiy_cf_3_5x13_np","implantat konicheskiy cf 3 5x13 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x16_np/","implantat_konicheskiy_cf_3_5x16_np","implantat konicheskiy cf 3 5x16 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x18_np/","implantat_konicheskiy_cf_3_5x18_np","implantat konicheskiy cf 3 5x18 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_5/implantat_konicheskiy_cf_3_5x8_np/","implantat_konicheskiy_cf_3_5x8_np","implantat konicheskiy cf 3 5x8 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x10_np/","implantat_konicheskiy_cf_3_75x10_np","implantat konicheskiy cf 3 75x10 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x11_5_np/","implantat_konicheskiy_cf_3_75x11_5_np","implantat konicheskiy cf 3 75x11 5 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x13_np/","implantat_konicheskiy_cf_3_75x13_np","implantat konicheskiy cf 3 75x13 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x16_np/","implantat_konicheskiy_cf_3_75x16_np","implantat konicheskiy cf 3 75x16 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x18_np/","implantat_konicheskiy_cf_3_75x18_np","implantat konicheskiy cf 3 75x18 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/3_75/implantat_konicheskiy_cf_3_75x8_np/","implantat_konicheskiy_cf_3_75x8_np","implantat konicheskiy cf 3 75x8 np","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/4_0/implantat_konicheskiy_cf_4_0x10_sp/","implantat_konicheskiy_cf_4_0x10_sp","implantat konicheskiy cf 4 0x10 sp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
"amdgroup-public","AMDgroup","https://amdgroup.kz/catalog/4_0/implantat_konicheskiy_cf_4_0x11_5_sp/","implantat_konicheskiy_cf_4_0x11_5_sp","implantat konicheskiy cf 4 0x11 5 sp","","Стоматологические товары","piece","KZT","","","false","Публичная карточка AMDgroup; цена, остаток и compliance требуют подтверждения поставщиком."
