externalId,name,supplierSku,brand,manufacturer,unit,priceMinor,currency,quantityOnHand,category,sourceUrl,sourceUpdatedAt
stomir-001,Валики ватные,1401945,,шт,,,Расходные материалы,https://stomir.kz/,2026-07-17
stomir-002,Комплект стоматологический №2,CKD-103_2,ZT Dental,,набор,,,Одноразовая продукция,https://stomir.kz/,2026-07-17
stomir-003,Протравочный гель CharmEtch-35 HV,1400029,DentKist,Inc,шт,,,Протравочные гели,https://stomir.kz/,2026-07-17
stomir-004,Универсальный нанокомпозит CharmFil Plus A1,1401588,DentKist,Inc,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-005,Универсальный нанокомпозит CharmFil Plus A2,1401589,DentKist,Inc,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-006,Универсальный нанокомпозит CharmFil Plus A3,1401590,DentKist,Inc,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-007,Универсальный нанокомпозит CharmFil Plus UO,1401591,DentKist,Inc,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-008,Брекеты сапфировые,CKB-174,,,набор,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-009,Материал Quicks Flow Blue,1401792,DentKist,Inc,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-010,Нить ретракционная HUMMER-PAK,CKT-5,Hummer-Pak,,уп,,,Ретракция десны,https://stomir.kz/,2026-07-17
stomir-011,Ретейнер,CKB-125,,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-012,Дуги NITI Super Elastic,CKB-145,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-013,Брекеты металлические,CKB-101,IMD,,набор,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-014,Чашки Петри,CKB-194,,,уп,,,Расходные материалы,https://stomir.kz/,2026-07-17
stomir-015,Эндокольцо,CKB-195,IMD,,шт,,,Эндодонтия,https://stomir.kz/,2026-07-17
stomir-016,Набор нанокомпозитов CharmFil Plus Kit,1401592,DentKist,Inc,набор,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-017,Материал Latelux flow A1,1400016,LaTus,,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-018,Therafil-21,CKB-204,LaTus,,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-019,Дуги NITI Super Elastic Square,CKB-146,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-020,Дуги RCS Wires CKB-147,CKB-147,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-021,Дуги RCS Wires CKB-148,CKB-148,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-022,Дуга SS круглая,CKB-149,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-023,Дуга SS прямоугольная,CKB-150,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-024,Дуга CU-Alloy,CKB-151,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-025,Дуга CU-Alloy,CKB-152,IMD,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-026,Дуга облицовочная NITI,CKB-153,NIC,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-027,Дуга облицовочная NITI,CKB-154,NIC,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-028,Дуга облицовочная SS,CKB-155,NIC,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-029,Дуга облицовочная SS,CKB-156,NIC,,шт,,,Ортодонтия,https://stomir.kz/,2026-07-17
stomir-030,Зажим Мэтью с мелкой крестообразной насечкой,CKB-157,,,шт,,,Ортодонтические инструменты,https://stomir.kz/,2026-07-17
stomir-031,Therafil-31,1400025,LaTus,,шт,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-032,LATELUX системный набор,1400024,LaTus,,набор,,,Пломбировочные материалы,https://stomir.kz/,2026-07-17
stomir-033,Адгезив светового отверждения CharmBond,1401750,DentKist,Inc,шт,,,Адгезивы,https://stomir.kz/,2026-07-17
stomir-034,Инструмент для закладывания ретракционных нитей,CKT-6,,,шт,,,Ретракция десны,https://stomir.kz/,2026-07-17
stomir-035,Цемент стеклоиономерный,CKT-131,,,шт,,,Цементы и вспомогательные средства,https://stomir.kz/,2026-07-17
