source,supplierName,sourceUrl,externalId,name,brand,category,unit,currency,price,quantity,isRegulated,notes
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614042132","CKO-2","Зубная паста против зубного налета - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614042439","CKO-3","Зубная паста с Зеленым чаем - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614043144","СКО-4","Зубная паста с Алое Вера - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614043421","СКO-5","Зубная паста с Прополисом - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190614044017","СКО-6","Зубная паста Отбеливающая - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_pasty/190617094737","CKO-7","Зубная паста Сенсетив - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/opolaskivateli/190617095114","CKO-12","Ополаскиватель Сенситив, без спирта - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190619121010","CKO-50","Зубная Щетка СS SMART - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617102810","CKO-19","Зубная щетка для чувствительных десен - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617103909","CKO-21","Зубная щетка Sensitive Teeth ExtraSoft - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617112114","CKO-24","Зубная щетка New Activ - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617114456","CKO-25","Зубная щетка New Balance - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617114823","CKO-26","Зубная щетка Голд - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617120839","CKO-31","Зубная щетка Детская Baby - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190617121617","CKO-33","Зубная щетка Гусеница - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/zubnye_schetki/190621013338","CKO-56","Набор ершиков Prime Plus - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/skrebki_ershi_flosssy/190617123300","CKO-37","Зубная нить Алоэ Вера, которая расширяется - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/instrumenty_i_akksesuary/170217105831","ятор","Артикулятор - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/instrumenty_i_akksesuary/181114101732","CKB-220","Окклюдатор - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/rashodnye_materialy_i_aksessuary/161228041226","CKD","Ретрактор - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/stomatologicheskie_odnorazovye_komplekty/161219092014","СKD","Комплект стоматологический №2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/161212041046","1401945","Валики ватные - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/190617025602","CKD-123","Одноразовый турбинный наконечник - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181114105628","1401548","Бумага упаковочная в рулонах для стерилизации - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181114010830","CKB-226","Ирригационная система - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181114011312","CKB-227","Кисточки для нанесения адгезива + ручка - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181130115051","1401751","Наконечники для слюноотсоса - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181130121518","CKB-230","Очки защитные - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/181130122225","CKB-232","Очки защитные - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/190617015652","CKM-12","Нагрудник - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/odnorazovaya_produkciya/190617023119","CKD-12","Микробраши (аппликаторы стоматологические) - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/slepochnye_massy/170330110359","1401712","Коррегирующий материал CharmFlex Light-LV - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/slepochnye_massy/170425074008","1401713","Коррегирующий материал CharmFlex light XLV - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/slepochnye_massy/170425074807","1401752","Масса слепочная А-силикон CharmFlex Putty - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/slepochnye_massy/170425075113","1401753","Масса слепочная А-силикон CharmFlex Putty Soft - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_himicheskogo_otverzhdeniya/190618121258","CKT-1234","Пломбировочный материал CharmFil Flow - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_himicheskogo_otverzhdeniya/181113114331","CKB-204","Therafil-21 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_himicheskogo_otverzhdeniya/190614022912","1400025","Therafil-31 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/sredstva_dlya_uhoda_i_obrabotki_dezinficiruyuschie_sredstva/180724034123","СКТ-184","Порошок для чистки дистиллятора от накипи - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/sredstva_dlya_uhoda_i_obrabotki_dezinficiruyuschie_sredstva/190619011845","CKT-1256","Спрей-масло для наконечников - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210921122043","1401589","Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/190618025448","1401792","Материал стоматологический светоотверждаемый жидкотекучий временный Quicks Flow Blue - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210921115959","1401588","Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A1 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210921122613","1401591","Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus UO - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210921122349","1401590","Универсальный светоотверждаемый рентгеноконтрастный микрогибридный нанокомпозит CharmFil Plus A3 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/181113103902","1401592","Набор универсальных светоотверждаемых рентгеноконтрастных нанокомпозитов CharmFil Plus Kit - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/181113104340","1400016","Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A1 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210611042418","1400017","Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610033658","1400019","Материал композиционный пломбировочный светоотверждаемый Latelux A1 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610040558","1400020","Материал композиционный пломбировочный светоотверждаемый Latelux A2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610041939","1401391","Материал композиционный пломбировочный светоотверждаемый Latelux B1 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610042203","1401392","Материал композиционный пломбировочный светоотверждаемый Latelux B2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210611042627","1400018","Материал композиционный пломбировочный светоотверждаемый текучий Latelux flow A3 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610041631","1401393","Материал композиционный пломбировочный светоотверждаемый Latelux OA2 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/210610041115","1400021","Материал композиционный пломбировочный светоотверждаемый Latelux A3 - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/plombirovochnye_materialy_svetovogo_otverzhdeniya/190614024311","1400024","LATELUX cистемный набор - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
"stomir","ТОО СТОМир","https://stomir.kz/catalog/bondingovye_adgezivnye_sistemy_i_protravochnye_geli/170216010321","1400029","Протравочный гель CharmEtch-35 HV - СТОМИР","","Стоматологические товары","piece","KZT","","","false","Публичная карточка каталога СТОМир; цена и наличие требуют подтверждения поставщиком."
