supplierSource,externalId,canonicalName,sourceUrl,productVariantId,cardStatus
"allfordent","7177","235-b Набор Микромотор, прямой, угловой наконенчик c внутреней подачи воды","https://a4d.kz/content/235-b-nabor-mikromotor-pryamoy-uglovoy-nakonenchik-c-vnutreney-podachi-vody","c8596b05-743b-44ec-b6d6-6f7979d96a9a","DRAFT_REVIEW"
"allfordent","7176","235-e Набор Микромотор, прямой, угловой наконенчик со светом и внутреней подачи воды","https://a4d.kz/content/235-e-nabor-mikromotor-pryamoy-uglovoy-nakonenchik-so-svetom-i-vnutreney-podachi-vody","00fce324-29d0-4235-8e46-1a0fee088629","DRAFT_REVIEW"
"allfordent","1378","3D ретрактор","https://a4d.kz/content/3d-retraktor","1d9f66ea-d60e-44c6-9844-34b0fbfc3cb6","DRAFT_REVIEW"
"allfordent","5113","5113","https://a4d.kz/content/5113","1a51be39-a5fc-494e-9216-3d45b5756f45","DRAFT_REVIEW"
"allfordent","7056","7056","https://a4d.kz/content/7056","1219e30c-def4-4a14-8190-b1cb7bce69a4","DRAFT_REVIEW"
"allfordent","1632","A-08 ультразвуковой скалер.","https://a4d.kz/content/08-ultrazvukovoy-skaler","071cd6d3-41de-4bd8-a485-8bbb8fea9263","DRAFT_REVIEW"
"allfordent","1477","Ani-Flex Bite А-силикон для регистрации прикуса 50мл.*2шт","https://a4d.kz/content/ani-flex-bite-silikon-dlya-registracii-prikusa-50ml2sht","2d700dee-ed24-4aee-a4e7-cbf81a5632e4","DRAFT_REVIEW"
"allfordent","1476","Ani-Flex Clear прозрачный А-силикон средней вязкости для создания прозрачных ключей. 50мл.*4 шт.","https://a4d.kz/content/ani-flex-clear-prozrachnyy-silikon-sredney-vyazkosti-dlya-sozdaniya-prozrachnyh-klyuchey","a0a7823e-b906-494b-bbad-4a4c3b419929","DRAFT_REVIEW"
"allfordent","1452","Any-Com 4 гр. шприц","https://a4d.kz/content/any-com-4-gr-shpric","b865c205-c012-4b32-9d10-68b0e4580781","DRAFT_REVIEW"
"allfordent","1457","Any-Com Flow Kit Rainbow","https://a4d.kz/content/any-com-flow-kit-rainbow","eafafe99-536d-487a-9481-949eba802961","DRAFT_REVIEW"
